BNSF,0,1200,8
BNSF,0,1202,10
BNSF,0,1206,54
BNSF,0,1204,4
BNSF,0,1208,38
BNSF,0,1210,96
BNSF,0,1212,37
BNSF,0,1214,42
BNSF,0,1216,115
BNSF,0,1218,33
BNSF,0,1220,97
BNSF,0,1222,123
BNSF,0,1306,94
BNSF,0,1224,102
BNSF,0,1226,126
BNSF,0,1228,163
BNSF,0,1230,116
BNSF,0,1232,54
BNSF,0,1234,97
BNSF,0,1236,99
BNSF,0,1242,65
BNSF,0,1244,102
BNSF,0,1246,126
BNSF,0,1304,70
BNSF,0,1250,85
BNSF,0,1252,75
BNSF,0,1254,98
BNSF,0,1256,51
BNSF,0,1258,52
BNSF,0,1260,30
BNSF,0,1262,19
BNSF,0,1264,70
BNSF,0,1268,7
BNSF,0,1272,34
BNSF,0,1274,4
BNSF,0,1276,10
BNSF,0,1282,7
BNSF,0,1284,15
BNSF,0,1292,72
BNSF,0,1294,18
BNSF,0,1296,10
BNSF,0,1298,25
BNSF,0,1300,8
BNSF,0,1302,6
BNSF,0,1201,6
BNSF,0,1203,1
BNSF,0,1205,4
BNSF,0,1207,2
BNSF,0,1211,19
BNSF,0,1213,1
BNSF,0,1215,1
BNSF,0,1217,40
BNSF,0,1221,43
BNSF,0,1223,23
BNSF,0,1225,13
BNSF,0,1227,40
BNSF,0,1229,93
BNSF,0,1231,57
BNSF,0,1301,56
BNSF,0,1233,25
BNSF,0,1235,30
BNSF,0,1239,38
BNSF,0,1241,84
BNSF,0,1243,44
BNSF,0,1245,13
BNSF,0,1247,98
BNSF,0,1249,61
BNSF,0,1251,123
BNSF,0,1253,108
BNSF,0,1255,97
BNSF,0,1257,60
BNSF,0,1259,106
BNSF,0,1261,107
BNSF,0,1263,109
BNSF,0,1265,51
BNSF,0,1267,111
BNSF,0,1269,107
BNSF,0,1271,77
BNSF,0,1273,22
BNSF,0,1275,97
BNSF,0,1277,43
BNSF,0,1279,50
BNSF,0,1281,62
BNSF,0,1283,20
BNSF,0,1303,84
BNSF,0,1285,83
BNSF,0,1287,50
BNSF,0,1289,16
BNSF,0,1291,38
BNSF,0,1293,9
BNSF,0,1295,7
BNSF,1,2000,7
BNSF,1,2002,22
BNSF,1,2004,36
BNSF,1,2006,19
BNSF,1,2008,70
BNSF,1,2010,20
BNSF,1,2012,85
BNSF,1,2014,296
BNSF,1,2016,120
BNSF,1,2020,89
BNSF,1,2022,52
BNSF,1,2024,22
BNSF,1,2026,46
BNSF,1,2028,73
BNSF,1,2030,26
BNSF,1,2032,22
BNSF,1,2040,10
BNSF,1,2001,11
BNSF,1,2005,52
BNSF,1,2009,52
BNSF,1,2011,39
BNSF,1,2013,19
BNSF,1,2015,27
BNSF,1,2017,59
BNSF,1,2019,55
BNSF,1,2021,56
BNSF,1,2023,47
BNSF,1,2025,19
BNSF,1,2027,70
BNSF,1,2029,25
BNSF,1,2031,24
BNSF,1,2033,36
BNSF,1,2035,47
BNSF,1,2039,9
BNSF,2,2000,6
BNSF,2,2002,21
BNSF,2,2004,27
BNSF,2,2006,32
BNSF,2,2008,53
BNSF,2,2010,40
BNSF,2,2012,59
BNSF,2,2014,64
BNSF,2,2016,84
BNSF,2,2020,54
BNSF,2,2022,74
BNSF,2,2024,26
BNSF,2,2026,38
BNSF,2,2028,45
BNSF,2,2030,28
BNSF,2,2032,21
BNSF,2,2040,7
BNSF,2,2001,6
BNSF,2,2005,25
BNSF,2,2009,35
BNSF,2,2011,31
BNSF,2,2013,42
BNSF,2,2015,23
BNSF,2,2017,37
BNSF,2,2019,47
BNSF,2,2021,58
BNSF,2,2023,83
BNSF,2,2025,22
BNSF,2,2027,36
BNSF,2,2029,23
BNSF,2,2031,25
BNSF,2,2033,27
BNSF,2,2035,43
BNSF,2,2039,5
HC,0,914,42
HC,0,916,67
HC,0,918,63
HC,0,915,53
HC,0,917,52
HC,0,919,25
MD-N,0,2102,33
MD-N,0,2104,43
MD-N,0,2106,53
MD-N,0,2108,62
MD-N,0,2110,85
MD-N,0,2112,75
MD-N,0,2116,81
MD-N,0,2118,112
MD-N,0,2120,86
MD-N,0,2124,72
MD-N,0,2126,37
MD-N,0,2128,37
MD-N,0,2130,28
MD-N,0,2132,28
MD-N,0,2134,12
MD-N,0,2136,16
MD-N,0,2138,12
MD-N,0,2140,24
MD-N,0,2142,27
MD-N,0,2144,18
MD-N,0,2146,31
MD-N,0,2148,9
MD-N,0,2150,11
MD-N,0,2152,7
MD-N,0,2156,6
MD-N,0,2158,7
MD-N,0,2160,4
MD-N,0,2101,13
MD-N,0,2103,12
MD-N,0,2105,13
MD-N,0,2107,29
MD-N,0,2109,18
MD-N,0,2111,9
MD-N,0,2113,10
MD-N,0,2115,12
MD-N,0,2117,22
MD-N,0,2119,19
MD-N,0,2121,54
MD-N,0,2123,55
MD-N,0,2125,80
MD-N,0,2127,32
MD-N,0,2131,77
